Название,Co-Op [👁],PC/VR [👁],VR [👁],Дата выхода,Дата добавления [👁],Дата изменения,Жанры,Обложка,Описание,Оценка,Рейтинг,Ссылка,Статус
Life is Strange: Before the Storm,No,PC Игры,No,31 авг. 2017,"March 30, 2022 3:31 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/554620/header.jpg?t=1637335403,"Life is Strange: Before the Storm - это новая игра в серии-победителе премии BAFTA, состоящая из 3 эпизодов, сюжет которой разворачивается за три года до событий первой игры. В этот раз вам предстоит сыграть за юную бунтарку Хлою Прайс, которая подружилась с Рейчел Эмбер в новой драматической истории.",⭐,91,https://store.steampowered.com/app/554620/Life_is_Strange_Before_the_Storm/?curator_clanid=36149206,🗑️ Брошена
Life is Strange - Episode 1,No,PC Игры,No,30 янв. 2015,"March 30, 2022 3:31 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/319630/header.jpg?t=1592488448,"Episode 1 now FREE! Life is Strange is an award-winning and critically acclaimed episodic adventure game that allows the player to rewind time and affect the past, present and future.",⭐⭐⭐,94,https://store.steampowered.com/app/319630/Life_is_Strange__Episode_1/?curator_clanid=36149206,✔️ Пройдена
The Bookwalker,No,PC Игры,No,TBA. Wishlist and follow!,"March 30, 2022 3:31 PM","January 4, 2023 4:24 AM"," Инди,  Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/1432100/header.jpg?t=1644234658,"You’re a Bookwalker — a thief with an ability to dive into books. You are forced to use your powers to track and steal famous items like Thor’s Hammer and the Excalibur for clients, to regain your ability to write again.",,,https://store.steampowered.com/app/1432100/The_Bookwalker/,⌛ В планах
Redfall,Yes,PC Игры,No,,"March 30, 2022 3:35 PM","October 16, 2022 11:12 AM",Шутеры,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/Screenshot_1.png,"Redfall is an open-world co-op FPS from Arkane Austin, the award-winning team behind Prey and Dishonored.",,,https://bethesda.net/en/game/redfall,⌛ В планах
Alan Wake Remastered,No,PC Игры,No,05.10.21,"March 30, 2022 3:37 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/en-remedy-deer-ic1-400x115-400x115-9a278d7959dc.png?h=270&resize=1&w=480,"В этом отмеченном наградами кинематографическом боевике писатель Алан Уэйк отправляется на отчаянные поиски своей пропавшей жены Элис. Alan Wake Remastered предлагает полную версию игры и включает основную игру и два её сюжетных дополнения, The Signal и The Writer, с новой потрясающей графикой в 4K.",,,https://store.epicgames.com/ru/p/alan-wake-remastered,⌛ В планах
Baba Is You,No,PC Игры,No,13 мар. 2019,"March 30, 2022 3:39 PM","October 16, 2022 11:12 AM"," Инди",https://cdn.cloudflare.steamstatic.com/steam/apps/736260/header.jpg?t=1601950406,"Baba Is You is a puzzle game where the rules you have to follow are present as blocks you can interact with. By manipulating them, you can change how the game works, repurpose things you find in the levels and cause surprising interactions!",⭐⭐,95,https://store.steampowered.com/app/736260/Baba_Is_You/,🗑️ Брошена
Little Devil Inside,No,PC Игры,No,2022,"March 30, 2022 3:40 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/Little_Devil_Inside.jpg,"Little Devil Inside – это стильная приключенческая игра от независимой студии Neostream Interactive, действие которой происходит в викторианскую эпоху, где разные существа, монстры и другие загадочные формы жизни встречаются на каждом шагу.",,,http://www.neostream.com/,⌛ В планах
Blade of Darkness,No,PC Игры,No,7 окт. 2021,"March 30, 2022 3:40 PM","October 16, 2022 11:12 AM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1710170/header.jpg?t=1639761593,Blade of Darkness is a hardcore fantasy action-adventure with unique combat mechanics and role-playing elements that pioneered the “soulsborne” genre. Pick one of four characters to hack and slash through a gory quest to save the world from the forces of Chaos.,,90,https://store.steampowered.com/app/1710170/Blade_of_Darkness/,⌛ В планах
RimWorld,No,PC Игры,No,17 окт. 2018,"March 30, 2022 3:40 PM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/294100/header.jpg?t=1648662790,"RimWorld управляет тремя людьми, выжившими после крушения космического лайнера, в строительстве колонии в приграничном мире на краю изученного пространства. Источники вдохновения этой игры -это дух космического вестерна Firefly, глубокая проработка Dwarf Fortress и эпические Dune и Warhammer 40 000.",,96,https://store.steampowered.com/app/294100/RimWorld/,⌛ В планах
Space Station 14,Yes,PC Игры,No,When we code it,"March 30, 2022 3:43 PM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры,  Симуляторы, Бесплатно, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1255460/header.jpg?t=1641326771,"Disasters, enemies, and incompetence conspire to make each shift aboard the station a unique and hellish experience. Sign up today to explore intricate game mechanics and enjoy limitless player interaction! (Nanotrasen Inc. is not responsible for injury, death, or worse).",,,https://store.steampowered.com/app/1255460/Space_Station_14/,⌛ В планах
Serious Sam 3 VR: BFE,Yes,VR Игры,Yes,9 ноя. 2017,"March 30, 2022 3:43 PM","October 16, 2022 11:12 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/567670/header.jpg?t=1569249537,"Serious Sam 3 VR: BFE — это великолепное возвращение в золотой век шутеров с видом от первого лица, когда мужчины были мужчинами, укрытия были для трусов, а нажатие на курок сопровождалось огромными взрывами.",,,https://store.steampowered.com/app/567670/Serious_Sam_3_VR_BFE/,⌛ В планах
Hades,No,PC Игры,No,17 сен. 2020,"March 30, 2022 3:44 PM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1145360/header.jpg?t=1624463563,"Бросьте вызов богу мёртвых и прорубите себе путь из Подземного мира в игре в жанрах «рогалик» и «данжен-кроулер» от создателей Bastion, Transistor и Pyre.",,97,https://store.steampowered.com/app/1145360/Hades/,⌛ В планах
Wasteland 3,Yes,PC Игры,No,28 авг. 2020,"March 30, 2022 3:45 PM","October 16, 2022 11:12 AM"," Ролевые игры, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/719040/header.jpg?t=1645559591,"Wasteland 3 — это продолжение серии ролевых игр, положивших начало жанру постапокалипсиса в видеоиграх, представитель которой - Wasteland 2 - получил звание ""Игра года 2014"".",,81,https://store.steampowered.com/app/719040/Wasteland_3/,⌛ В планах
Hogwarts Legacy,No,PC Игры,No,2022,"March 30, 2022 3:46 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/990080/header.jpg?t=1648140545,"Станьте участником событий, которые разворачиваются на территории Хогвартса в 1800-х годах. Ваш персонаж – студент, владеющий ключом к древней тайне, которая способна разорвать волшебный мир на части. Находите союзников и сражайтесь с темными волшебниками, чтобы решить судьбу волшебного мира.",,,https://store.steampowered.com/app/990080/Hogwarts_Legacy/,⌛ В планах
Starfield,No,PC Игры,No,11.11.22,"March 30, 2022 3:47 PM","October 16, 2022 11:12 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/1716740/header.jpg?t=1639080161,"Starfield — первая игровая вселенная, созданная за последние 25 лет Bethesda Game Studios, авторами The Elder Scrolls V: Skyrim и Fallout 4. В этой инновационной ролевой игре вам предстоит отправиться к звёздам, чтобы раскрыть величайшую тайну человечества.",,,https://store.steampowered.com/app/1716740/Starfield/,⌛ В планах
Saints Row,No,PC Игры,No,"August 23, 2022","March 30, 2022 3:48 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/Screenshot_1%201.png,Witness the birth of the Saints in this wild new take on the Saints Row universe. Experience the biggest and best Saints Row playground ever created.,,,https://saintsrow.com/,⌛ В планах
Inscryption,No,PC Игры,No,19 окт. 2021,"March 30, 2022 3:51 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1092790/header.jpg?t=1647626087,"Inscryption – мрачное карточное приключение, в котором roguelike с составлением колод, головоломки в духе квест-комнат и психологический хоррор смешались в пропитанный кровью коктейль. А тайны написанного на картах еще мрачнее...",,95,https://store.steampowered.com/app/1092790/Inscryption/,⌛ В планах
Hotline Miami 2: Wrong Number,No,PC Игры,No,10 мар. 2015,"March 30, 2022 3:52 PM","October 16, 2022 11:12 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/274170/header.jpg?t=1627314138,"Hotline Miami 2: Wrong Number is the brutal conclusion to the Hotline Miami saga, set against a backdrop of escalating violence and retribution over spilled blood in the original game.",⭐⭐⭐,91,https://store.steampowered.com/app/274170/Hotline_Miami_2_Wrong_Number/,✔️ Пройдена
Hotline Miami,No,PC Игры,No,23 окт. 2012,"March 30, 2022 3:52 PM","October 16, 2022 11:12 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/219150/header.jpg?t=1622219177,"Hotline Miami — это адреналиновый боевик, полный первобытной жестокости, смертельно опасных перестрелок и крышесносящих драк.",🧡,95,https://store.steampowered.com/app/219150/Hotline_Miami/,✔️ Пройдена
Sifu,No,PC Игры,No,08.02.22,"March 30, 2022 3:53 PM","October 16, 2022 11:12 AM",,https://cdn2.unrealengine.com/egs-greeneye-sloclap-ic1-400x400-7f5493d6af29.png?h=270&resize=1&w=480,"Sifu — это новая игра Sloclap, независимой студии, подарившей нам Absolver. Экшен от третьего лица с интенсивными рукопашными боями даст вам возможность управлять молодым учеником кунг-фу, выбравшим путь мести.",,,https://store.epicgames.com/ru/p/sifu,⌛ В планах
Stationeers,Yes,PC Игры,No,13 дек. 2017,"March 30, 2022 3:53 PM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/544550/header.jpg?t=1620195246,"Stationeers puts you in control of the construction and management of a space station to run by yourself or online with your friends. Complex atmospheric, electrical, manufacturing, agriculture, and gravitational systems require your thought and management at all times!",,81,https://store.steampowered.com/app/544550/Stationeers/,⌛ В планах
Terraria,Yes,PC Игры,No,16 мая. 2011,"March 30, 2022 3:54 PM","January 3, 2023 2:44 PM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/105600/header.jpg?t=1590092560,"Копайте, сражайтесь, исследуйте, стройте! Нет ничего невозможного в этой насыщенной событиями приключенческой игре. Также доступен комплект для четверых!",🧡,97,https://store.steampowered.com/app/105600/Terraria/,📅 Ожидает
Black Myth: Wukong,No,PC Игры,No,2023,"March 30, 2022 3:55 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/449558410_BlackMythWukong.jpeg.21f6d6085d13004bb8f7c2d25ece1ba3.jpg,"Black Myth: Wukong - это экшен, основанный на известном произведении ""Путешествие на Запад"", которое рассказывает о приключениях Короля обезьян Суне Укуне. Игра также рассказывает историю о Короле обезьян, но сама история в ней совершенно иная. Геймплей же в Black Myth напоминает экшены с видом от третьего лица - Царь обезьян пользуется разнообразным оружием, чтобы сражаться с многочисленными противниками на разнообразных локациях, используя свои мифические способности.",,,https://heishenhua.com/,⌛ В планах
Fallout 4,No,PC Игры,No,10 ноя. 2015,"March 30, 2022 3:59 PM","January 24, 2023 6:56 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1635279860,"Bethesda Game Studios, создатель популярнейших игр Fallout 3 и The Elder Scrolls V: Skyrim, приглашает вас в мир Fallout 4 – своей самой грандиозной игры нового поколения с открытым миром.",,80,https://store.steampowered.com/app/377160/Fallout_4/,⌛ В планах
Timberborn,No,PC Игры,No,15 сен. 2021,"March 30, 2022 3:59 PM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Ранний доступ, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/1062090/header.jpg?t=1643200897,"Люди давно исчезли. Выживут ли бобры-дровосеки? Градостроительный симулятор со смекалистыми животными, высотными постройками, регулированием водопотока и смертоносными засухами. Высокое содержание дерева.",,92,https://store.steampowered.com/app/1062090/Timberborn/,⌛ В планах
Fallout 3: Game of the Year Edition,No,PC Игры,No,13 окт. 2009,"March 30, 2022 4:00 PM","October 16, 2022 11:12 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/22370/header.jpg?t=1634779495,"Подготовьтесь к будущемуС игрой Fallout 3: Game of the Year Edition, одной из самых известных игр 2008-го года. Создайте персонажа на свой вкус и погрузитесь в волнующий пост-апокалиптический мир, где каждую минуту идет борьба за выживание.",⭐⭐⭐,77,https://store.steampowered.com/app/22370/Fallout_3_Game_of_the_Year_Edition/,✔️ Пройдена
Dwarf Fortress,No,PC Игры,No,time is subjective,"March 30, 2022 4:00 PM","January 3, 2023 2:59 PM"," Ролевые игры,  Симуляторы, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/975370/header.jpg?t=1647361880,"The deepest, most intricate simulation of a world that's ever been created. The legendary Dwarf Fortress is now on Steam. Build a fortress and try to help your dwarves survive against a deeply generated world.",,,https://store.steampowered.com/app/975370/Dwarf_Fortress/,🎮 В процессе
DokeV,No,PC Игры,No,2022,"March 30, 2022 4:01 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/og_img.jpg,Get ready to rock the world and embark on an adventure with your Dokebi friends in this creature-collecting open world action-adventure!,,,https://dokev.pearlabyss.com/en/Main/Index,⌛ В планах
Punch A Bunch,No,PC Игры,No,2023,"March 30, 2022 4:03 PM","February 28, 2023 12:55 PM",Экшены,https://cdn.cloudflare.steamstatic.com/steam/apps/1512590/header.jpg?t=1647468977,"Beat up your friends in Punch A Bunch! A physics-based, casual boxing game, with tight controls and lots of humor!",,,https://store.steampowered.com/app/1512590/Punch_A_Bunch/,⌛ В планах
SOMA,No,PC Игры,No,22 сен. 2015,"March 30, 2022 4:03 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/282140/header.jpg?t=1645091265,"Разработчики игры ""Amnesia: Призрак прошлого"" создали новый научно-фантастический ужастик SOMA, сюжет которого перенесёт вас на дно Атлантического океана. Вам предстоит бороться за жизнь в опасном мире, который заставит вас сомневаться в собственном существовании.",,93,https://store.steampowered.com/app/282140/SOMA/,⌛ В планах
Penumbra Overture,No,PC Игры,No,30 мар. 2007,"March 30, 2022 4:04 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/22180/header.jpg?t=1617809968,"Penumbra: Overture is a first person survival horror game, emphasizing on survival and problem solving instead of mindless violence and gore.",,86,https://store.steampowered.com/app/22180/Penumbra_Overture/?curator_clanid=615744,⌛ В планах
Penumbra: Black Plague Gold Edition,No,PC Игры,No,24 янв. 2009,"March 30, 2022 4:04 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/22120/header.jpg?t=1617809897,"Surrounded by enemies and assaulted by terror from all sides, Philip must collect clues and solve vexing puzzles while combating the gnawing psychological terrors that assail his mind and threaten to strip him of his sanity.",,89,https://store.steampowered.com/app/22120/Penumbra_Black_Plague_Gold_Edition/?curator_clanid=615744,⌛ В планах
Amnesia: The Dark Descent,No,PC Игры,No,8 сен. 2010,"March 30, 2022 4:05 PM","January 3, 2023 1:46 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/57300/header.jpg?t=1645092180,"Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.",⭐⭐,92,https://store.steampowered.com/app/57300/Amnesia_The_Dark_Descent/?curator_clanid=615744,🗑️ Брошена
Lovers in a Dangerous Spacetime,Yes,PC Игры,No,9 сен. 2015,"March 30, 2022 4:05 PM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/252110/header.jpg?t=1646189638,"LOVERS IN A DANGEROUS SPACETIME — это безумный космический шутер с возможностью совместного прохождения. Только скоординированная командная работа позволит вам победить злобные силы антилюбви, спасти космозаек и избежать неприятной космической кончины.",,89,https://store.steampowered.com/app/252110/Lovers_in_a_Dangerous_Spacetime/,⌛ В планах
Skul: The Hero Slayer,No,PC Игры,No,21 янв. 2021,"March 30, 2022 4:06 PM","October 16, 2022 11:12 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1147560/header.jpg?t=1643357155,Помогите скелету Скалу в одиночку расправиться с императорской армией и спасти своего короля из плена в игре на все времена — остросюжетном 2D-платформере в жанре rogue-lite.,,91,https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/,⌛ В планах
Vagante,Yes,PC Игры,No,22 фев. 2018,"March 30, 2022 4:06 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/323220/header.jpg?t=1629215457,"Vagante is an action-packed platformer that features permanent death and procedurally generated levels. Play cooperatively with friends both locally and online, or adventure solo in this challenging roguelike-inspired game.",,86,https://store.steampowered.com/app/323220/Vagante/?l=russian,⌛ В планах
Valheim,Yes,PC Игры,No,2 фев. 2021,"March 30, 2022 4:07 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/892970/header.jpg?t=1647939640,"Игра в жанре выживание, в которой вам предстоит исследовать огромный фэнтезийный мир, пропитанный скандинавской мифологией и культурой викингов.",,94,https://store.steampowered.com/app/892970/Valheim/,⌛ В планах
Toribash,No,PC Игры,No,1 мар. 2006,"March 30, 2022 4:07 PM","October 16, 2022 11:12 AM"," Инди, Бесплатно, Стратегии, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/248570/header.jpg?t=1632408826,"Toribash - это инновационный бесплатный пошаговый онлайн-файтинг, основанный на физике ragdoll, в котором вы можете сами создавать свои движения. Полный контроль над телом персонажа, сотни игровых модов и моря крови с полным расчленением тела - уничтожайте своих врагов так, как нигде прежде!",🧡,86,https://store.steampowered.com/app/248570/Toribash/,🔄 Реиграбельна
The Binding of Isaac: Repentance,Yes,PC Игры,No,31 мар. 2021,"March 30, 2022 4:08 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1426300/header.jpg?t=1617173513,,⭐⭐⭐,75,https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/?l=russian,🗑️ Брошена
Path of Exile,Yes,PC Игры,No,23 окт. 2013,"March 30, 2022 4:08 PM","October 16, 2022 11:12 AM"," Инди,  Многопользовательские игры,  Приключенческие игры,  Ролевые игры, Бесплатно, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/238960/header.jpg?t=1643315564,"Вы - изгнанник, который пытается выжить в мрачном мире Рэкласта. Сражаясь за свою жизнь, вы пытаетесь отомстить тем, кто обрёк вас на эту участь. Path of Exile создана игроками для игроков. Это онлайн Action RPG в тёмном фэнтэзийном мире. Игра полностью бесплатна и не имеет Pay-to-Win элементов.",⭐⭐⭐,89,https://store.steampowered.com/app/238960/Path_of_Exile/,🔄 Реиграбельна
Dishonored,No,PC Игры,No,9 окт. 2012,"March 30, 2022 4:09 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/205100/header.jpg?t=1598321484,"Dishonored — это насыщенный экшен от первого лица, в котором вам предстоит вжиться в роль убийцы, чьими поступками движет жажда мести. Гибкая система боя в Dishonored позволит вам комбинировать ваши сверхъестественные способности, оружие и необычные устройства так, как того захотите вы, чтобы устранить ваши цели.",🧡,95,https://store.steampowered.com/app/205100/Dishonored/,✔️ Пройдена
DARK SOULS™ III,No,PC Игры,No,11 апр. 2016,"March 30, 2022 4:10 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/374320/header.jpg?t=1644436409,"Dark Souls продолжит испытывать игроков на прочность в новой главе знаменитой серии, собравшей множество наград и определившей лицо жанра. Соберитесь с духом и погрузитесь во тьму!",,93,https://store.steampowered.com/app/374320/DARK_SOULS_III/,⌛ В планах
DARK SOULS™ II: Scholar of the First Sin,No,PC Игры,No,2 апр. 2015,"March 30, 2022 4:11 PM","October 16, 2022 11:12 AM"," Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/335300/header.jpg?t=1644436414,"DARK SOULS™ II: Scholar of the First Sin выводит свойственные серии мрачность и увлекательный процесс игры на новый уровень. Путешествуйте, сражайтесь с врагами, преодолевайте опасности и испытания.",,84,https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/,⌛ В планах
TEKKEN 7,Yes,PC Игры,No,2 июн. 2017,"March 30, 2022 4:11 PM","October 16, 2022 11:12 AM"," Спортивные игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/389730/header.jpg?t=1638999755,"Любовь, месть, гордость. В созданной на основе движка Unreal Engine 4 игре TEKKEN 7 вас ждут красивейшие сюжетные битвы и поединки, в которых можно сражаться как с друзьями, так и соперниками.",⭐⭐⭐,81,https://store.steampowered.com/app/389730/TEKKEN_7/,🔄 Реиграбельна
Devil May Cry 4 Special Edition,No,PC Игры,No,23 июн. 2015,"March 30, 2022 4:12 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/329050/header.jpg?t=1644282580,"The smash-hit stylish action game DMC4 is back and better than ever, boasting new playable characters and game modes!",⭐⭐,88,https://store.steampowered.com/app/329050/Devil_May_Cry_4_Special_Edition/,🗑️ Брошена
MONSTER HUNTER RISE,Yes,PC Игры,No,12 янв. 2022,"March 30, 2022 4:12 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/1446780/header.jpg?t=1647883081,"Готовьтесь: настало время охоты! В Monster Hunter Rise — новой игре всемирно известного бестселлера Monster Hunter — вас ждет история, в которой вы станете охотником и отправитесь исследовать невиданные прежде карты и расправляться с кровожадными монстрами с помощью целого арсенала оружия.",,85,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/,⌛ В планах
Cyberpunk 2077,No,PC Игры,No,10 дек. 2020,"March 30, 2022 4:13 PM","October 16, 2022 11:12 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/1091500/header.jpg?t=1647417960,"Cyberpunk 2077 — приключенческая ролевая игра с открытым миром, действие которой происходит в футуристическом мегаполисе Найт-Сити, где выше всего ценятся власть, роскошь и модификации тела.",,74,https://store.steampowered.com/app/1091500/Cyberpunk_2077/,⌛ В планах
Resident Evil Village,No,PC Игры,No,7 мая. 2021,"March 30, 2022 4:13 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/1196590/header.jpg?t=1644282152,"Испытайте survival horror, каким его еще не видели, в 8-й части легендарной серии — Resident Evil Village. Проработанная до мелочей графика, напряженная игра от первого лица и превосходное повествование сделают ужас как никогда реальным и неотвратимым.",,94,https://store.steampowered.com/app/1196590/Resident_Evil_Village/,⌛ В планах
Red Dead Redemption 2,Yes,PC Игры,No,5 дек. 2019,"March 30, 2022 4:13 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1618851907,"Игра RDR2, получившая более 175 наград и 250 высших оценок от игровых изданий, – это грандиозная история о судьбе бандита Артура Моргана и банды Ван дер Линде, бегущих от закона через всю Америку на заре современной эпохи. Включает бесплатный доступ к совместной игре в мире Red Dead Online.",,87,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/,⌛ В планах
Ведьмак 3: Дикая Охота,No,PC Игры,No,18 мая. 2015,"March 30, 2022 4:13 PM","October 16, 2022 11:12 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/292030/header_russian.jpg?t=1646996408,"Когда в Северных королевствах бушует война, вы заключаете величайший контракт своей жизни — отыскать Дитя предназначения, живое оружие, которое может изменить облик мира.",⭐⭐⭐,95,https://store.steampowered.com/app/292030/_3/,✔️ Пройдена
Resident Evil 5,No,PC Игры,No,15 сен. 2009,"March 30, 2022 4:14 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/21690/header.jpg?t=1644282819,"This game is a port of the Games for Windows - Live version that was released in 2009. If you buy the Untold Stories Bundle here on Steam, it will be the same as upgrading to Resident Evil 5 Gold Edition.",⭐⭐,85,https://store.steampowered.com/app/21690/Resident_Evil_5/,✔️ Пройдена
FlatOut,No,PC Игры,No,12 июл. 2005,"March 30, 2022 4:15 PM","October 16, 2022 11:12 AM",Гонки,https://cdn.akamai.steamstatic.com/steam/apps/6220/header.jpg?t=1570209735,"FlatOut — наполненная адреналином гоночная игра на маслкарах в сочетании со взрывной физикой, захватывающими эффектами и графикой, инновационным игровым механизмом и старым добрым весельем! Восемь управляемых игроком или искусственным интеллектом машин на трассе для тесных гонок.",⭐⭐,88,https://store.steampowered.com/app/6220/FlatOut/,🗑️ Брошена
Carmageddon TDR 2000,No,PC Игры,No,14 дек. 2000,"March 30, 2022 4:18 PM","October 16, 2022 11:12 AM"," Инди, Гонки, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/331650/header.jpg?t=1588594037,"Хочешь ""классический"" Carmageddon: TDR 2000 БЕСПЛАТНО? Купи Ранний Доступ Carmageddon: Reincarnation на Стиме! А если хочешь только Carmageddon: TDR 2000, купи его здесь. Хотя, если ты это сделаешь, возникнут вопросы о твоей нормальности. Или мужественности.",⭐⭐,,https://store.steampowered.com/app/331650/Carmageddon_TDR_2000/?curator_clanid=32990993,✔️ Пройдена
Burnout Paradise Remastered,Yes,PC Игры,No,21 авг. 2018,"March 30, 2022 4:19 PM","January 3, 2023 1:54 PM"," Приключенческие игры, Гонки, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1238080/header.jpg?t=1625518920,"С возвращением в Paradise City! Докажите всем, что скорость - ваше второе имя!",🧡,,https://store.steampowered.com/app/1238080/Burnout_Paradise_Remastered/,🗑️ Брошена
Wreckfest,No,PC Игры,No,14 июн. 2018,"March 30, 2022 4:19 PM","January 3, 2023 1:54 PM"," Инди,  Симуляторы,  Спортивные игры, Гонки, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/228380/header.jpg?t=1634723536,"Эпические столкновения, нешуточная борьба до самого финиша и миллион способов гнуть и корежить металл - вот что ждет вас в Wreckfest, новой гоночной игре со сверхреалистичной симуляцией физики от легендарного разработчика Bugbear, подарившего миру FlatOut 1 & 2!",⭐⭐,85,https://store.steampowered.com/app/228380/Wreckfest/,🗑️ Брошена
